Recipe_ID,Recipe_Name,Title,Video_URL,Views
1293,creamy-veggie-risotto,Italian Veg Risotto Recipe - Creamy and Delicious Vegetarian Italian Risotto - Sattvik Kitchen,https://www.youtube.com/watch?v=1kca5LFwDeQ&pp=ygUhaG93IHRvIG1ha2UgY3JlYW15IHZlZ2dpZSByaXNvdHRv,69K views
1293,creamy-veggie-risotto,Creamy Vegetable Risotto | Minimalist Baker Recipes,https://www.youtube.com/watch?v=6gyATN13W3c&pp=ygUhaG93IHRvIG1ha2UgY3JlYW15IHZlZ2dpZSByaXNvdHRv,51K views
1293,creamy-veggie-risotto,How to Make CREAMY MUSHROOM RISOTTO Like an Italian,https://www.youtube.com/watch?v=8ak3lUxy_yU&pp=ygUhaG93IHRvIG1ha2UgY3JlYW15IHZlZ2dpZSByaXNvdHRv,1.6M views
1294,microwave-butternut-squash-risotto,🌱Roasted Butternut Squash Risotto (Microwave)🍠,https://www.youtube.com/watch?v=dIXqEWb22i0&pp=ygUuaG93IHRvIG1ha2UgbWljcm93YXZlIGJ1dHRlcm51dCBzcXVhc2ggcmlzb3R0bw%3D%3D,30 views
1294,microwave-butternut-squash-risotto,Fancy Microwave Butternut Squash Risotto,https://www.youtube.com/shorts/HHTUkH32aSg,405 views
1294,microwave-butternut-squash-risotto,Butternut Bacon Squash Risotto - made with only a microwave,https://www.youtube.com/watch?v=80WMjEPEXd0&pp=ygUuaG93IHRvIG1ha2UgbWljcm93YXZlIGJ1dHRlcm51dCBzcXVhc2ggcmlzb3R0bw%3D%3D,183 views
1295,summer-courgette-risotto,COURGETTE RISOTTO (ZUCCHINI RISOTTO) - Original Italian recipe,https://www.youtube.com/watch?v=h4B00xRTygE&pp=ygUkaG93IHRvIG1ha2Ugc3VtbWVyIGNvdXJnZXR0ZSByaXNvdHRv,27K views
1295,summer-courgette-risotto,Courgette Risotto Recipe | How to Make an Easy Risotto,https://www.youtube.com/watch?v=sspCvsY0RFg&pp=ygUkaG93IHRvIG1ha2Ugc3VtbWVyIGNvdXJnZXR0ZSByaXNvdHRv,125 views
1295,summer-courgette-risotto,Courgette and Lemon Risotto,https://www.youtube.com/watch?v=Z_N2AV9vWEM&pp=ygUkaG93IHRvIG1ha2Ugc3VtbWVyIGNvdXJnZXR0ZSByaXNvdHRv,545 views
1296,chicken-mushroom-risotto,Perfect Chicken and Mushroom Risotto,https://www.youtube.com/watch?v=O33mMQlu82E&pp=ygUkaG93IHRvIG1ha2UgY2hpY2tlbiBtdXNocm9vbSByaXNvdHRv,76K views
1296,chicken-mushroom-risotto,How To Make Chicken & Mushroom Risotto the right way | Easy recipe :),https://www.youtube.com/watch?v=PMEEnnuXNr8&pp=ygUkaG93IHRvIG1ha2UgY2hpY2tlbiBtdXNocm9vbSByaXNvdHRv,14K views
1296,chicken-mushroom-risotto,This Simple Chicken Risotto Needs To Be In Every Cooks Repertoire | delicious. Australia,https://www.youtube.com/watch?v=0i84S9D9W8o&pp=ygUkaG93IHRvIG1ha2UgY2hpY2tlbiBtdXNocm9vbSByaXNvdHRv,125K views
1297,roast-chicken-pea-risotto,Marco Pierre White recipe for Roast Chicken and Pea Risotto,https://www.youtube.com/watch?v=z-2yc_KjMx8&pp=ygUlaG93IHRvIG1ha2Ugcm9hc3QgY2hpY2tlbiBwZWEgcmlzb3R0bw%3D%3D,265K views
1297,roast-chicken-pea-risotto,Chicken and Pea Risotto,https://www.youtube.com/watch?v=H5rQIZHusTo&pp=ygUlaG93IHRvIG1ha2Ugcm9hc3QgY2hpY2tlbiBwZWEgcmlzb3R0bw%3D%3D,942 views
