Recipe_ID,Recipe_Name,Image URL
80,mushroom-mapo-tofu,"https://images.immediate.co.uk/production/volatile/sites/30/2021/12/Mushroom-Mapo-Tofu-ab54c31.jpg?quality=90&resize=556,505"
81,sweet-sour-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2010/02/Sweet-and-sour-chicken-bbd3783.jpg?quality=90&resize=556,505"
82,crispy-sesame-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2024/04/CrispySesameChicken-2967279.jpg?quality=90&resize=556,505"
83,sichuan-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/Sichuan-chicken-7ad6cef.jpg?quality=90&resize=556,505"
84,orange-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2024/09/TakeawayOrangeChicken-9d84081.jpg?quality=90&resize=556,505"
85,air-fryer-salt-pepper-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2024/12/Air-fryer-salt-and-pepper-chicken-433da3a.jpg?quality=90&resize=556,505"
86,slow-cooker-gochujang-short-ribs-with-apple-slaw,"https://images.immediate.co.uk/production/volatile/sites/30/2022/11/Gochujang-short-ribs-3db1211.jpg?quality=90&resize=556,505"
87,gobi-manchurian,"https://images.immediate.co.uk/production/volatile/sites/30/2024/09/GobiManchurian-ad8498d.jpg?quality=90&resize=556,505"
88,stir-fried-beef-with-ginger,"https://images.immediate.co.uk/production/volatile/sites/30/2022/04/220413_STIR_FRIED_BEEF_WITH_GINGER_AND_LEMONGRASS_0242_111-577e9d2.jpg?quality=90&resize=556,505"
89,duck-in-plum-sauce-chinese-style,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/DuckPlumSauce-a52aa5c.jpg?quality=90&resize=556,505"
90,lionhead-meatball-soup,"https://images.immediate.co.uk/production/volatile/sites/30/2021/12/Lionhead-Meatball-Soup-db03571.jpg?quality=90&resize=556,505"
91,slow-roast-five-spice-pork-belly-gravy,"https://images.immediate.co.uk/production/volatile/sites/30/2022/08/Slow-roast-five-spice-pork-belly-e13f4b8.jpg?quality=90&resize=556,505"
92,five-spice-powder,"https://images.immediate.co.uk/production/volatile/sites/30/2013/06/five-spice-powder-e9bc374.jpg?quality=90&resize=556,505"
93,singapore-noodles-prawns,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/singapore-noodles-09dd968.jpg?quality=90&resize=440,400"
94,rainbow-fried-rice-with-prawns-fried-eggs,"https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Rainbow-fried-rice-with-prawns-and-a-fried-egg-fbb6d16.jpg?quality=90&resize=556,505"
95,braised-shiitake-mushrooms-pak-choi,"https://images.immediate.co.uk/production/volatile/sites/30/2024/01/Braised-shiitake-mushrooms-and-pak-choi-ad4633b.jpg?quality=90&resize=556,505"
96,healthy-chicken-stir-fry,"https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Healthy-chicken-stir-fry-02a0a0f.jpg?quality=90&resize=556,505"
97,easy-lemon-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2024/01/Lemon-chicken-ca35d95.jpg?quality=90&resize=556,505"
98,wuxi-ribs,"https://images.immediate.co.uk/production/volatile/sites/30/2021/12/Wuxi-ribs-16afc42.jpg?quality=90&resize=556,505"
99,black-bean-sauce,"https://images.immediate.co.uk/production/volatile/sites/30/2024/09/BlackBeanSauce-2051145.jpg?quality=90&resize=556,505"
100,egg-fried-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken-de7762e.jpg?quality=90&resize=93,84"
101,sichuan-chicken-wings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken-de7762e.jpg?quality=90&resize=440,400"
102,pork-crab-ants-climbing-trees,"https://images.immediate.co.uk/production/volatile/sites/30/2021/12/Decadent-Pork-and-Crab-980495f.jpg?quality=90&resize=556,505"
103,blood-orange-dark-chocolate-madeleines,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/blood-orange-madeleines-6d37a58.jpg?quality=90&resize=440,400"
104,paris-brest,"https://images.immediate.co.uk/production/volatile/sites/30/2023/12/211220231703168934.jpeg?quality=90&resize=556,505"
105,flamiche,"https://images.immediate.co.uk/production/volatile/sites/30/2022/04/Flamiche-6204ab6.jpg?quality=90&resize=556,505"
106,pain-au-chocolat,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/PainAuChoc-0ff983a.jpg?quality=90&resize=556,505"
107,steak-tartare,"https://images.immediate.co.uk/production/volatile/sites/30/2023/09/Steak-Tartare-c0d766e.jpg?quality=90&resize=556,505"
108,pot-roast-beef-french-onion-gravy,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1222463_11-7eaf5a2.jpg?quality=90&resize=440,400"
109,crusty-baguettes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/baguette-13efbe7.gif?quality=90&resize=440,400"
110,marmalade-tea-madeleines,"https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Madeleines-7dbf650.jpg?quality=90&resize=556,505"
111,financiers,"https://images.immediate.co.uk/production/volatile/sites/30/2023/09/Financiers-bfba30a.jpg?quality=90&resize=556,505"
